id	text	page	type	choices	choiceNames	reverse	placeholder	min	max	disabled	checkType	width	height	inline	randomize
NA	Your participation is entirely voluntary. You are free to choose not to participate. Should you choose to participate, you can withdraw at any time during the study without consequences of any kind. Since the data is only linked to the subject number (not your name), we have no way to identify and withdraw your data from data analysis once you give consent and complete the study.	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	<br>	1	HTML	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	Questions about the Study	1	h4	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	If you have questions or concerns during the time of your participation in this study, or after its completion or you would like to receive a copy of the final aggregate results of this study, please contact:	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	<br>	1	HTML	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	Vivien (Kit Ying) Chan, Ph.D.	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	Assistant Professor	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	Department of Social and Behavioural Sciences	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	<br>	1	HTML	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	Academic 1 Y7419	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	City University of Hong Kong	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	Tat Chee Avenue, Kowloon, Hong Kong	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	Tel: +852 3442 7073	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	Email: vivien.chanky@cityu.edu.hk	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	<br>	1	HTML	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
checkConsent	By checking this box, you agree to take part in this study.	1	checkboxInput	NA	NA	NA	NA	NA	NA	1	isTRUE	750px	NA	NA	0
NA	If you do not wish to proceed, simply close this page. 	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	<br>	1	HTML	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
